ID,First Name,Last Name,Job Title,Email,Active
98765432,moshe_the_king,Doe,Software Engineer,johndoe@MailX.com,TRUE
12345678,Jane,Smith,Project Manager,janesmith@Maisla.com,TRUE
67890123,Michael123456,Johnson,Data Analyst,michaeljohnson@MailX.com,TRUE
54321098,Emily8794,Williams,Graphic Designer,emilywilliams@MailX.com,TRUE
24680246,Christopher,Brown,Marketing Manager,christopherbrown@Maisla.com,FALSE
13579125,Sarah,Davis,Accountant,sarahdavis@MailX.com,TRUE
86420987,Daniel,Wilson,Sales Representative,danielwilson@MailX.com,TRUE
97531097,Jessica,Anderson,Human Resources,jessicaanderson@Maisla.com,TRUE
46802468,David,Martinez,Web Developer,davidmartinez@Maisla.com,TRUE
75391975,Jennifer,Taylor,Customer Service Rep.,jennifertaylor@MailX.com,TRUE
15926535,Ashley,Thomas,Financial Analyst,ashleythomas@MailX.com,TRUE
87654321,Matthew,Rodriguez,Software Developer,matthewrodriguez@Maisla.com,FALSE
36471829,Elizabeth,Lee,Project Coordinator,elizabethlee@MailX.com,TRUE
59203592,Andrew,Walker,Marketing Specialist,andrewwalker@MailX.com,TRUE
81457281,Olivia,Lewis,Data Scientist,olivialewis@Maisla.com,TRUE
23689236,James,Hall,Business Analyst,jameshall@MailX.com,TRUE
45712345,Sophia,Young,UX Designer,sophiayoung@MailX.com,TRUE
68034680,Benjamin,King,IT Manager,benjaminking@Maisla.com,TRUE
79123791,Ava,Scott,Operations Manager,avascott@MailX.com,TRUE
50248502,Joseph,Adams,Sales Manager,josephadams@Maisla.com,TRUE
31928319,Mia,Hill,HR Coordinator,miahill@MailX.com,TRUE
62037620,William,Baker,Front-end Developer,williambaker@MailX.com,TRUE
13579135,Charlotte,Nelson,Marketing Coordinator,charlottenelson@Maisla.com,TRUE
84962849,Samuel,Carter,Data Engineer,samuelcarter@MailX.com,TRUE
57301573,Sofia,Mitchell,Product Manager,miahill@MailX.com,TRUE
29681296,Henry,Perez,Software Tester,henryperez@MailX.com,TRUE
73142731,Amelia,Roberts,Content Writer,ameliaroberts@Maisla.com,TRUE
46023460,Ethan,Turner,Systems Administrator,ethanturner@MailX.com,TRUE
18475814,Harper,Phillips,Social Media Manager,harperphillips@Maisla.com,TRUE
69758697,Alexander,Campbell,Network Engineer,alexandercampbell@MailX.com,TRUE
52894528,Emily,Parker,UX Researcher,emilyparker@Maisla.com,TRUE
21783217,Daniel,Evans,Technical Writer,danielevans@MailX.com,TRUE
35942359,Grace,Edwards,Customer Support Rep.,graceedwards@Maisla.com,TRUE
62107621,Ryan,Collins,Database Administrator,ryancollins@MailX.com,TRUE
94356943,Victoria,Stewart,Digital Marketing Spec.,victoriastewart@Maisla.com,TRUE
18247182,Jacob,Morris,Business Development,jacobmorris@MailX.com,TRUE
50386503,Abigail,Cook,UI Designer,abigailcook@Maisla.com,TRUE
42571425,David,Murphy,Software Architect,davidmurphy@Maisla.com,TRUE
73825738,Elizabeth,Rivera,Financial Planner,elizabethrivera@MailX.com,TRUE
16497164,Joseph,Ward,Sales Representative,josephward@Maisla.com,TRUE
30958309,Ava,Price,Project Coordinator,avaprice@MailX.com,TRUE
87645876,Michael,Powell,Business Analyst,michaelpowell@Maisla.com,TRUE
20437204,Lily,Reed,UX Designer,lilyreed@MailX.com,TRUE
54286542,Daniel,Gray,Marketing Specialist,danielgray@Maisla.com,TRUE
79164791,Sophia,Watson,Data Scientist,sophiawatson@MailX.com,TRUE
61379613,Alexander,Brooks,Software Developer,alexanderbrooks@Maisla.com,TRUE
61350092,SIMI,LOZINY,Software Developer,alexanderbrooks@Maisla.com,TRUE
